Added: 2020-05-24T02:48:57.126Z
TickerStatistics[symbol=COTIBTC,priceChange=0.00000033,priceChangePercent=14.348,weightedAvgPrice=0.00000244,prevClosePrice=0.00000229,lastPrice=0.00000263,bidPrice=0.00000262,askPrice=0.00000263,openPrice=0.00000230,highPrice=0.00000267,lowPrice=0.00000226,volume=72136319.00000000,openTime=1590202109088,closeTime=1590288509088,firstId=1172292,lastId=1181623,count=9332]
TickerStatistics[symbol=COTIBNB,priceChange=0.00018100,priceChangePercent=14.196,weightedAvgPrice=0.00136099,prevClosePrice=0.00126300,lastPrice=0.00145600,bidPrice=0.00145100,askPrice=0.00146700,openPrice=0.00127500,highPrice=0.00147900,lowPrice=0.00125600,volume=1467742.00000000,openTime=1590202110388,closeTime=1590288510388,firstId=92476,lastId=93367,count=892]
TickerStatistics[symbol=NPXSETH,priceChange=0.00000008,priceChangePercent=13.333,weightedAvgPrice=0.00000067,prevClosePrice=0.00000060,lastPrice=0.00000068,bidPrice=0.00000068,askPrice=0.00000069,openPrice=0.00000060,highPrice=0.00000076,lowPrice=0.00000059,volume=2059808570.00000000,openTime=1590202111396,closeTime=1590288511396,firstId=3036171,lastId=3038550,count=2380]
TickerStatistics[symbol=DENTETH,priceChange=0.00000010,priceChangePercent=13.333,weightedAvgPrice=0.00000079,prevClosePrice=0.00000075,lastPrice=0.00000085,bidPrice=0.00000084,askPrice=0.00000085,openPrice=0.00000075,highPrice=0.00000085,lowPrice=0.00000074,volume=510392149.00000000,openTime=1590202102335,closeTime=1590288502335,firstId=1362673,lastId=1363611,count=939]
TickerStatistics[symbol=DENTUSDT,priceChange=0.00001900,priceChangePercent=12.102,weightedAvgPrice=0.00016610,prevClosePrice=0.00015560,lastPrice=0.00017600,bidPrice=0.00017600,askPrice=0.00017660,openPrice=0.00015700,highPrice=0.00019530,lowPrice=0.00015250,volume=984841644.00000000,openTime=1590202108241,closeTime=1590288508241,firstId=228434,lastId=229818,count=1385]
TickerStatistics[symbol=CHRBNB,priceChange=0.00013100,priceChangePercent=11.759,weightedAvgPrice=0.00123405,prevClosePrice=0.00111500,lastPrice=0.00124500,bidPrice=0.00124000,askPrice=0.00125300,openPrice=0.00111400,highPrice=0.00134400,lowPrice=0.00110600,volume=1489319.00000000,openTime=1590202110076,closeTime=1590288510076,firstId=16008,lastId=16722,count=715]
TickerStatistics[symbol=CHRBTC,priceChange=0.00000022,priceChangePercent=10.837,weightedAvgPrice=0.00000220,prevClosePrice=0.00000203,lastPrice=0.00000225,bidPrice=0.00000224,askPrice=0.00000226,openPrice=0.00000203,highPrice=0.00000243,lowPrice=0.00000200,volume=54141022.00000000,openTime=1590202109978,closeTime=1590288509978,firstId=88644,lastId=98013,count=9370]
TickerStatistics[symbol=CELRBTC,priceChange=0.00000003,priceChangePercent=10.714,weightedAvgPrice=0.00000029,prevClosePrice=0.00000028,lastPrice=0.00000031,bidPrice=0.00000030,askPrice=0.00000031,openPrice=0.00000028,highPrice=0.00000031,lowPrice=0.00000027,volume=123044685.00000000,openTime=1590202111177,closeTime=1590288511177,firstId=4455463,lastId=4457109,count=1647]
TickerStatistics[symbol=MITHBNB,priceChange=0.00002800,priceChangePercent=10.687,weightedAvgPrice=0.00026757,prevClosePrice=0.00026200,lastPrice=0.00029000,bidPrice=0.00029000,askPrice=0.00029300,openPrice=0.00026200,highPrice=0.00029300,lowPrice=0.00025900,volume=9490685.00000000,openTime=1590202110264,closeTime=1590288510264,firstId=584775,lastId=590449,count=5675]
TickerStatistics[symbol=CHRUSDT,priceChange=0.00195000,priceChangePercent=10.394,weightedAvgPrice=0.02027625,prevClosePrice=0.01879000,lastPrice=0.02071000,bidPrice=0.02069000,askPrice=0.02073000,openPrice=0.01876000,highPrice=0.02240000,lowPrice=0.01807000,volume=40222477.10000000,openTime=1590202109930,closeTime=1590288509930,firstId=91343,lastId=100159,count=8817]
TickerStatistics[symbol=FTMBNB,priceChange=0.00003300,priceChangePercent=10.123,weightedAvgPrice=0.00034523,prevClosePrice=0.00032700,lastPrice=0.00035900,bidPrice=0.00035900,askPrice=0.00036000,openPrice=0.00032600,highPrice=0.00036700,lowPrice=0.00031800,volume=8476197.00000000,openTime=1590202102777,closeTime=1590288502777,firstId=324998,lastId=326646,count=1649]
TickerStatistics[symbol=MITHUSDT,priceChange=0.00042000,priceChangePercent=9.524,weightedAvgPrice=0.00444864,prevClosePrice=0.00439000,lastPrice=0.00483000,bidPrice=0.00481000,askPrice=0.00483000,openPrice=0.00441000,highPrice=0.00489000,lowPrice=0.00425000,volume=78668616.10000000,openTime=1590202113328,closeTime=1590288513328,firstId=958377,lastId=962066,count=3690]
TickerStatistics[symbol=FTMUSDT,priceChange=0.00050000,priceChangePercent=9.124,weightedAvgPrice=0.00567410,prevClosePrice=0.00553000,lastPrice=0.00598000,bidPrice=0.00594000,askPrice=0.00598000,openPrice=0.00548000,highPrice=0.00630000,lowPrice=0.00518000,volume=99949425.90000000,openTime=1590202111023,closeTime=1590288511023,firstId=1159737,lastId=1163783,count=4047]
TickerStatistics[symbol=FTMBTC,priceChange=0.00000005,priceChangePercent=8.475,weightedAvgPrice=0.00000062,prevClosePrice=0.00000059,lastPrice=0.00000064,bidPrice=0.00000064,askPrice=0.00000065,openPrice=0.00000059,highPrice=0.00000066,lowPrice=0.00000057,volume=173334386.00000000,openTime=1590202106657,closeTime=1590288506657,firstId=2519004,lastId=2523765,count=4762]
TickerStatistics[symbol=MITHBTC,priceChange=0.00000004,priceChangePercent=8.333,weightedAvgPrice=0.00000048,prevClosePrice=0.00000048,lastPrice=0.00000052,bidPrice=0.00000052,askPrice=0.00000053,openPrice=0.00000048,highPrice=0.00000053,lowPrice=0.00000046,volume=70292952.00000000,openTime=1590202069560,closeTime=1590288469560,firstId=4321495,lastId=4324844,count=3350]
TickerStatistics[symbol=BEAMBNB,priceChange=0.00167000,priceChangePercent=8.276,weightedAvgPrice=0.02136296,prevClosePrice=0.02009000,lastPrice=0.02185000,bidPrice=0.02166000,askPrice=0.02185000,openPrice=0.02018000,highPrice=0.02218000,lowPrice=0.02018000,volume=59135.10000000,openTime=1590202100902,closeTime=1590288500902,firstId=132037,lastId=132742,count=706]
TickerStatistics[symbol=DOCKBTC,priceChange=0.00000005,priceChangePercent=7.692,weightedAvgPrice=0.00000070,prevClosePrice=0.00000066,lastPrice=0.00000070,bidPrice=0.00000069,askPrice=0.00000070,openPrice=0.00000065,highPrice=0.00000074,lowPrice=0.00000065,volume=91331353.00000000,openTime=1590202107079,closeTime=1590288507079,firstId=5979841,lastId=5983286,count=3446]
TickerStatistics[symbol=PHBBTC,priceChange=0.00000002,priceChangePercent=7.692,weightedAvgPrice=0.00000026,prevClosePrice=0.00000026,lastPrice=0.00000028,bidPrice=0.00000027,askPrice=0.00000028,openPrice=0.00000026,highPrice=0.00000028,lowPrice=0.00000025,volume=85248245.00000000,openTime=1590202054454,closeTime=1590288454454,firstId=1795630,lastId=1796716,count=1087]
TickerStatistics[symbol=XVGBTC,priceChange=0.00000003,priceChangePercent=7.500,weightedAvgPrice=0.00000042,prevClosePrice=0.00000041,lastPrice=0.00000043,bidPrice=0.00000043,askPrice=0.00000044,openPrice=0.00000040,highPrice=0.00000044,lowPrice=0.00000040,volume=134749689.00000000,openTime=1590202094370,closeTime=1590288494370,firstId=21003377,lastId=21005815,count=2439]
TickerStatistics[symbol=BEAMBTC,priceChange=0.00000250,priceChangePercent=6.831,weightedAvgPrice=0.00003844,prevClosePrice=0.00003640,lastPrice=0.00003910,bidPrice=0.00003910,askPrice=0.00003930,openPrice=0.00003660,highPrice=0.00003990,lowPrice=0.00003630,volume=2766487.49000000,openTime=1590202110475,closeTime=1590288510475,firstId=1444093,lastId=1453140,count=9048]
TickerStatistics[symbol=OGNBTC,priceChange=0.00000132,priceChangePercent=6.804,weightedAvgPrice=0.00002045,prevClosePrice=0.00001944,lastPrice=0.00002072,bidPrice=0.00002072,askPrice=0.00002073,openPrice=0.00001940,highPrice=0.00002145,lowPrice=0.00001940,volume=9062387.00000000,openTime=1590201877750,closeTime=1590288277750,firstId=2305645,lastId=2315560,count=9916]
